r,l,t
9826.88887244463,779,2801.6243600845337
9826.888874053955,779,2803.8754148483276
9822.94439983368,797,2806.0871760845184
5096.64839053154,4500,2817.531421661377
5089.059851646423,4500,2829.1439213752747
5091.9055552482605,4500,2841.8101065158844
9826.222169101238,782,2844.013559103012
7621.73270457983,4500,2856.4937930107117
9856.38884806633,647,2858.56308221817
9823.4444013834,795,2861.2800631523132
9823.222218453884,796,2863.9148988723755
9821.888891637325,802,2866.3373074531555
7695.720900714397,4500,2879.0098011493683
5094.751251459122,4500,2891.638424873352
9822.944402754307,797,2893.895704269409
4822.512636125088,4500,2906.798253059387
9831.555561542511,758,2909.0572102069855
8751.475526154041,4500,2922.4968633651733
9827.222187042236,778,2925.3184230327606
9832.055493593216,756,2927.7964267730713
9827.166627049446,778,2930.839872598648
9822.33333516121,800,2933.288328886032
8382.483118832111,4500,2947.0024609565735
9832.111091375351,756,2949.281755924225
9823.444422900677,795,2951.6508243083954
9822.944404006004,797,2954.0190358161926
9823.444445312023,795,2956.4046499729156
9832.111056625843,756,2958.6824378967285
9826.888874471188,779,2961.0547049045563
9832.555534601212,754,2963.5348954200745
9831.999970853329,756,2966.1496353149414
9823.55554842949,794,2968.821753025055
5099.494090497494,4500,2982.520875453949
9822.888904809952,797,2985.2311222553253
8636.698972582817,4500,2998.167069673538
9823.277741372585,796,3000.411441087723
9823.555507421494,794,3002.6943669319153
9834.999966740608,743,3004.8340990543365
9823.388859629631,795,3007.1886854171753
9821.888849675655,802,3009.500072479248
9823.111110508442,796,3011.8225104808807
8534.253777384758,4500,3025.05450463295
9826.833316326141,780,3027.534144639969
9835.833311975002,739,3029.826078414917
9823.555528759956,794,3032.6569776535034
9823.222196698189,796,3035.4202926158905
9822.611067950726,799,3038.2748732566833
7695.720897257328,4500,3052.0071346759796
5092.854127109051,4500,3064.6863675117493
9826.83332324028,780,3067.6423783302307
9827.222167670727,778,3069.88014793396
9823.49998819828,795,3072.1488251686096
9823.555526733398,794,3074.54979968071
9826.99995970726,779,3076.8748710155487
9823.444419622421,795,3079.2658429145813
9826.888877153397,779,3081.59823179245
7695.720894515514,4500,3094.251442193985
9825.388881027699,786,3096.6470477581024
5093.802685141563,4500,3109.0947239398956
9826.888875186443,779,3111.2708024978638
9823.166653811932,796,3113.649509191513
9827.111101567745,778,3115.9306468963623
5093.802687942982,4500,3128.0890853405
9825.38886064291,786,3130.322031736374
9821.833329975605,802,3132.6404123306274
7695.720898091793,4500,3145.106848716736
8314.186324298382,4500,3157.308273077011
9823.16665250063,796,3159.85240983963
9826.833327531815,780,3162.0802545547485
9827.333311319351,777,3164.3623762130737
9832.055488884449,756,3166.6395568847656
9822.722206890583,798,3169.3541355133057
4862.352434098721,4500,3182.69860124588
9831.666660964489,758,3184.917740345001
5089.059851884842,4500,3198.6049466133118
9827.222190260887,778,3201.0372807979584
9832.111048460007,756,3204.229926586151
5089.0598529577255,4500,3216.475330352783
9827.111105024815,778,3218.797000169754
9823.388880312443,795,3221.207730293274
9823.444425165653,795,3223.5118958950043
9825.388876020908,786,3225.8612818717957
9832.111051023006,756,3228.1151077747345
9831.499998092651,759,3230.374907016754
8441.294253528118,4500,3242.453404188156
9826.833315193653,780,3244.706079721451
7695.720899164677,4500,3258.7569665908813
9823.055539608002,797,3261.270428419113
8538.048036813736,4500,3275.5100688934326
9826.944419205189,779,3278.1959705352783
9823.277737736702,796,3280.741890668869
9823.499985396862,795,3283.433569908142
9823.388906002045,795,3285.7233815193176
9823.222196400166,796,3287.981677055359
9823.055542111397,797,3290.3917553424835
9823.388878762722,795,3292.8543961048126
